fake uint32 uint64 1 2000000 6.2e-08 0.0331579 4293767553
btree64 uint32 uint64 1 2000000 1.78e-06 0.0441339 4294567810
btree56 uint32 uint64 1 2000000 2.35e-07 0.0439448 4294567810
btree48 uint32 uint64 1 2000000 2.17e-07 0.0445086 4294567810
btree40 uint32 uint64 1 2000000 2.1e-07 0.0441141 4294567810
btree32 uint32 uint64 1 2000000 1.73e-07 0.0447921 4294567810
btree24 uint32 uint64 1 2000000 1.62e-07 0.0449822 4294567810
btree16 uint32 uint64 1 2000000 1.48e-07 0.044741 4294567810
btree8 uint32 uint64 1 2000000 6.88e-07 0.0446664 4294567810
btree4 uint32 uint64 1 2000000 6.52e-07 0.0448816 4294567810
btree2 uint32 uint64 1 2000000 7.48e-07 0.0442191 4294567810
fake uint32 uint64 1 2000000 6.9e-08 0.0331558 4293767553
btree64 uint32 uint64 1 2000000 1.307e-06 0.0441635 4294567810
btree56 uint32 uint64 1 2000000 2.34e-07 0.0440823 4294567810
btree48 uint32 uint64 1 2000000 2.21e-07 0.0446202 4294567810
btree40 uint32 uint64 1 2000000 2.29e-07 0.0441011 4294567810
btree32 uint32 uint64 1 2000000 1.76e-07 0.0447661 4294567810
btree24 uint32 uint64 1 2000000 1.61e-07 0.0449721 4294567810
btree16 uint32 uint64 1 2000000 1.46e-07 0.0447689 4294567810
btree8 uint32 uint64 1 2000000 5.9e-07 0.0445364 4294567810
btree4 uint32 uint64 1 2000000 5.48e-07 0.0447007 4294567810
btree2 uint32 uint64 1 2000000 5.54e-07 0.044294 4294567810
fake uint32 uint64 1 2000000 8e-08 0.033161 4293767553
btree64 uint32 uint64 1 2000000 1.322e-06 0.0441784 4294567810
btree56 uint32 uint64 1 2000000 2.31e-07 0.0439414 4294567810
btree48 uint32 uint64 1 2000000 2.1e-07 0.0445473 4294567810
btree40 uint32 uint64 1 2000000 1.9e-07 0.0442164 4294567810
btree32 uint32 uint64 1 2000000 1.8e-07 0.0447847 4294567810
btree24 uint32 uint64 1 2000000 1.65e-07 0.0449607 4294567810
