eytzinger_branchy uint32 uint64 2 2000000 2e-07 0.0542383 mt
eytzinger_bf uint32 uint64 2 2000000 1.45e-07 0.046222 mt
eytzinger_bfp uint32 uint64 2 2000000 1.46e-07 0.0467151 mt
eytzinger_bf_a uint32 uint64 2 2000000 2.157e-06 0.046146 mt
eytzinger_bfp_a uint32 uint64 2 2000000 3.44e-07 0.0466354 mt
btree32 uint32 uint64 2 2000000 7.35e-07 0.0530268 mt
btree16 uint32 uint64 2 2000000 1.742e-06 0.0529323 mt
btree4 uint32 uint64 2 2000000 6.74e-07 0.0528574 mt
btree16_bf uint32 uint64 2 2000000 2.08e-07 0.0470939 mt
btree16_bfp uint32 uint64 2 2000000 2.01e-07 0.0469771 mt
btree8_bfp uint32 uint64 2 2000000 2e-07 0.0468893 mt
btree4_bfp uint32 uint64 2 2000000 1.7e-07 0.0470038 mt
btree32_a uint32 uint64 2 2000000 1.146e-06 0.0533994 mt
btree16_a uint32 uint64 2 2000000 4.66e-07 0.0541147 mt
btree8_a uint32 uint64 2 2000000 1.896e-06 0.053048 mt
btree16_bf_a uint32 uint64 2 2000000 4.4e-07 0.0471109 mt
btree16_bfp_a uint32 uint64 2 2000000 4.71e-07 0.0469862 mt
btree8_bfp_a uint32 uint64 2 2000000 4.55e-07 0.0470944 mt
btree4_bfp_a uint32 uint64 2 2000000 3.91e-07 0.0473873 mt
fake uint32 uint64 3 2000000 6.4e-08 0.0361137 mt
sorted uint32 uint64 3 2000000 1.767e-06 0.0539821 mt
sorted_bf uint32 uint64 3 2000000 1.47e-07 0.0456381 mt
sorted_bfp uint32 uint64 3 2000000 1.58e-07 0.0459986 mt
veb uint32 uint64 3 2000000 1.142e-06 0.0585972 mt
eytzinger_branchy uint32 uint64 3 2000000 2.1e-07 0.0553628 mt
eytzinger_bf uint32 uint64 3 2000000 1.5e-07 0.0463863 mt
eytzinger_bfp uint32 uint64 3 2000000 1.51e-07 0.047261 mt
eytzinger_bf_a uint32 uint64 3 2000000 2.16e-06 0.0462919 mt
eytzinger_bfp_a uint32 uint64 3 2000000 3.59e-07 0.046811 mt
btree32 uint32 uint64 3 2000000 7.16e-07 0.0543663 mt
btree16 uint32 uint64 3 2000000 1.669e-06 0.0540969 mt
btree4 uint32 uint64 3 2000000 6.76e-07 0.0541554 mt
btree16_bf uint32 uint64 3 2000000 2.03e-07 0.0472845 mt
btree16_bfp uint32 uint64 3 2000000 2.06e-07 0.0475335 mt
btree8_bfp uint32 uint64 3 2000000 1.91e-07 0.0474981 mt
btree4_bfp uint32 uint64 3 2000000 1.53e-07 0.0469908 mt
btree32_a uint32 uint64 3 2000000 1.002e-06 0.0550723 mt
btree16_a uint32 uint64 3 2000000 4.64e-07 0.0553312 mt
btree8_a uint32 uint64 3 2000000 1.987e-06 0.0542385 mt
btree16_bf_a uint32 uint64 3 2000000 4.24e-07 0.0471335 mt
btree16_bfp_a uint32 uint64 3 2000000 4.81e-07 0.0471014 mt
btree8_bfp_a uint32 uint64 3 2000000 4.49e-07 0.0472341 mt
btree4_bfp_a uint32 uint64 3 2000000 4.01e-07 0.0477446 mt
fake uint32 uint64 3 2000000 6.8e-08 0.0344405 mt
sorted uint32 uint64 3 2000000 1.733e-06 0.0540272 mt
sorted_bf uint32 uint64 3 2000000 1.68e-07 0.0456721 mt
sorted_bfp uint32 uint64 3 2000000 1.66e-07 0.046023 mt
veb uint32 uint64 3 2000000 1.162e-06 0.058574 mt
eytzinger_branchy uint32 uint64 3 2000000 1.98e-07 0.0553776 mt
eytzinger_bf uint32 uint64 3 2000000 1.49e-07 0.0463871 mt
eytzinger_bfp uint32 uint64 3 2000000 1.47e-07 0.0675914 mt
eytzinger_bf_a uint32 uint64 3 2000000 2.129e-06 0.0462916 mt
eytzinger_bfp_a uint32 uint64 3 2000000 3.38e-07 0.0468043 mt
btree32 uint32 uint64 3 2000000 7.04e-07 0.0543563 mt
btree16 uint32 uint64 3 2000000 1.617e-06 0.0540771 mt
btree4 uint32 uint64 3 2000000 6.7e-07 0.0541504 mt
btree16_bf uint32 uint64 3 2000000 1.99e-07 0.0472778 mt
btree16_bfp uint32 uint64 3 2000000 2.1e-07 0.0476116 mt
btree8_bfp uint32 uint64 3 2000000 1.95e-07 0.0476166 mt
btree4_bfp uint32 uint64 3 2000000 1.54e-07 0.0470073 mt
btree32_a uint32 uint64 3 2000000 9.94e-07 0.0550657 mt
btree16_a uint32 uint64 3 2000000 4.8e-07 0.0552657 mt
btree8_a uint32 uint64 3 2000000 1.834e-06 0.0542039 mt
btree16_bf_a uint32 uint64 3 2000000 3.98e-07 0.0471296 mt
btree16_bfp_a uint32 uint64 3 2000000 4.62e-07 0.047089 mt
btree8_bfp_a uint32 uint64 3 2000000 4.42e-07 0.0472242 mt
btree4_bfp_a uint32 uint64 3 2000000 3.85e-07 0.0477516 mt
fake uint32 uint64 5 2000000 7e-08 0.0344459 mt
sorted uint32 uint64 5 2000000 1.709e-06 0.0589924 mt
sorted_bf uint32 uint64 5 2000000 1.62e-07 0.0454299 mt
sorted_bfp uint32 uint64 5 2000000 1.51e-07 0.0460349 mt
veb uint32 uint64 5 2000000 1.295e-06 0.0654902 mt
eytzinger_branchy uint32 uint64 5 2000000 2.41e-07 0.0604311 mt
eytzinger_bf uint32 uint64 5 2000000 1.71e-07 0.0507792 mt
eytzinger_bfp uint32 uint64 5 2000000 1.78e-07 0.0519057 mt
eytzinger_bf_a uint32 uint64 5 2000000 2.16e-06 0.0505217 mt
